ID,Category,Problem,Skin_or_Hair_Type,Symptoms,Ingredients,Preparation,Usage,Frequency,Precautions
1,Haircare,Hair Growth,All,Hair Shedding; Dark Spots,Papaya; Potato Juice,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Weekly,Do patch test before use
2,Haircare,Oily Scalp,Oily,Flaky Skin; Itching,Neem Powder; Olive Oil,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Alternate days,Discontinue if irritation occurs
3,Haircare,Premature Greying,Straight,Excess Oil; Dry Texture,Onion Juice; Castor Oil,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Weekly,Avoid sun exposure after application
4,Haircare,Oily Scalp,Straight,Hair Shedding; Roughness,Olive Oil; Potato Juice,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,3 times/week,Do not apply on open wounds
6,Haircare,Frizzy Hair,Curly,Scalp Irritation; Roughness,Gram Flour; Yogurt,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,3 times/week,Consult dermatologist if severe condition
7,Haircare,Dry Hair,Straight,Itching; Roughness,Egg Yolk; Onion Juice,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,2 times/week,Do patch test before use
11,Haircare,Hair Growth,Curly,Roughness; Scalp Irritation,Onion Juice; Lemon Juice,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Weekly,Do not apply on open wounds
12,Haircare,Hair Growth,Normal,Flaky Skin; Dry Texture,Curd; Coconut Oil,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Daily,Consult dermatologist if severe condition
13,Haircare,Split Ends,Normal,Flaky Skin; Redness,Onion Juice; Coconut Oil,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,2 times/week,Discontinue if irritation occurs
16,Haircare,Frizzy Hair,Oily,Roughness; Flaky Skin,Rose Water; Green Tea,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Daily,Do patch test before use
19,Haircare,Dandruff,Dry,Redness; Scalp Irritation,Yogurt; Honey,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Weekly,Avoid sun exposure after application
20,Haircare,Hair Growth,All,Scalp Irritation; Breakage,Aloe Vera; Potato Juice,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Alternate days,Do not apply on open wounds
22,Haircare,Split Ends,Normal,Dry Texture; Dark Spots,Papaya; Green Tea,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,2 times/week,Do not apply on open wounds
24,Haircare,Dry Hair,Curly,Dry Texture; Scalp Irritation,Neem Powder; Rose Water,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,2 times/week,Discontinue if irritation occurs
27,Haircare,Hair Thinning,Straight,Dark Spots; Inflammation,Castor Oil; Gram Flour,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,2 times/week,Do not apply on open wounds
29,Haircare,Itchy Scalp,Dry,Flaky Skin; Dull Appearance,Gram Flour; Olive Oil,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Alternate days,Do patch test before use
30,Haircare,Hair Growth,All,Roughness; Itching,Rose Water; Curd,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Daily,Consult dermatologist if severe condition
34,Haircare,Hair Fall,Normal,Dry Texture; Uneven Tone,Curd; Fenugreek Seeds,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Weekly,Avoid sun exposure after application
35,Haircare,Oily Scalp,Curly,Inflammation; Excess Oil,Neem Powder; Honey,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Daily,Consult dermatologist if severe condition
36,Haircare,Split Ends,Dry,Hair Shedding; Scalp Irritation,Papaya; Green Tea,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Weekly,Do not apply on open wounds
39,Haircare,Frizzy Hair,Oily,Inflammation; Redness,Honey; Curd,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Alternate days,Avoid sun exposure after application
40,Haircare,Dandruff,All,Scalp Irritation; Hair Shedding,Neem Powder; Aloe Vera,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Alternate days,Consult dermatologist if severe condition
41,Haircare,Hair Fall,Oily,Flaky Skin; Hair Shedding,Lemon Juice; Onion Juice,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Alternate days,Discontinue if irritation occurs
43,Haircare,Hair Fall,Oily,Scalp Irritation; Itching,Papaya; Castor Oil,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,2 times/week,Discontinue if irritation occurs
44,Haircare,Hair Fall,All,Breakage; Excess Oil,Rose Water; Gram Flour,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,2 times/week,Avoid sun exposure after application
45,Haircare,Frizzy Hair,Oily,Dry Texture; Inflammation,Onion Juice; Honey,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Daily,Do not apply on open wounds
46,Haircare,Hair Thinning,Curly,Dry Texture; Hair Shedding,Castor Oil; Curd,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,2 times/week,Consult dermatologist if severe condition
51,Haircare,Oily Scalp,Straight,Dull Appearance; Dry Texture,Papaya; Yogurt,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,3 times/week,Do patch test before use
53,Haircare,Hair Fall,Normal,Dull Appearance; Inflammation,Potato Juice; Aloe Vera,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,2 times/week,Discontinue if irritation occurs
55,Haircare,Oily Scalp,All,Dull Appearance; Roughness,Banana; Onion Juice,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Weekly,Avoid sun exposure after application
56,Haircare,Dry Hair,Curly,Redness; Itching,Yogurt; Honey,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Weekly,Consult dermatologist if severe condition
57,Haircare,Hair Thinning,Oily,Flaky Skin; Dull Appearance,Green Tea; Yogurt,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Daily,Consult dermatologist if severe condition
61,Haircare,Hair Growth,Normal,Scalp Irritation; Excess Oil,Honey; Multani Mitti,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Weekly,Do patch test before use
62,Haircare,Premature Greying,Normal,Dark Spots; Flaky Skin,Honey; Turmeric,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Weekly,Consult dermatologist if severe condition
63,Haircare,Itchy Scalp,All,Uneven Tone; Dull Appearance,Rose Water; Banana,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Daily,Consult dermatologist if severe condition
67,Haircare,Oily Scalp,Curly,Scalp Irritation; Roughness,Turmeric; Egg Yolk,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,3 times/week,Consult dermatologist if severe condition
72,Haircare,Hair Fall,Dry,Excess Oil; Hair Shedding,Rose Water; Multani Mitti,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Alternate days,Do patch test before use
75,Haircare,Frizzy Hair,Normal,Excess Oil; Uneven Tone,Coconut Oil; Olive Oil,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,2 times/week,Do patch test before use
77,Haircare,Premature Greying,Oily,Dull Appearance; Itching,Turmeric; Banana,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Weekly,Consult dermatologist if severe condition
78,Haircare,Dry Hair,Dry,Scalp Irritation; Dark Spots,Potato Juice; Yogurt,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Daily,Avoid sun exposure after application
81,Haircare,Dandruff,Curly,Inflammation; Flaky Skin,Gram Flour; Banana,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,2 times/week,Consult dermatologist if severe condition
84,Haircare,Itchy Scalp,Dry,Dark Spots; Excess Oil,Turmeric; Papaya,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Alternate days,Do not apply on open wounds
86,Haircare,Hair Fall,Dry,Excess Oil; Dry Texture,Aloe Vera; Rose Water,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Daily,Do not apply on open wounds
88,Haircare,Dandruff,Dry,Dark Spots; Hair Shedding,Potato Juice; Egg Yolk,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Weekly,Discontinue if irritation occurs
90,Haircare,Dry Hair,Straight,Flaky Skin; Hair Shedding,Aloe Vera; Egg Yolk,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Weekly,Do not apply on open wounds
91,Haircare,Itchy Scalp,All,Inflammation; Itching,Papaya; Multani Mitti,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,2 times/week,Do not apply on open wounds
93,Haircare,Dry Hair,All,Dark Spots; Itching,Papaya; Potato Juice,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Daily,Do not apply on open wounds
95,Haircare,Oily Scalp,All,Hair Shedding; Inflammation,Neem Powder; Coconut Oil,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Alternate days,Do patch test before use
97,Haircare,Itchy Scalp,Straight,Excess Oil; Scalp Irritation,Turmeric; Fenugreek Seeds,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Daily,Consult dermatologist if severe condition
98,Haircare,Dry Hair,All,Uneven Tone; Flaky Skin,Turmeric; Gram Flour,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Weekly,Do not apply on open wounds
101,Haircare,Frizzy Hair,All,Redness; Hair Shedding,Aloe Vera; Castor Oil,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Weekly,Do patch test before use
