ID,Category,Problem,Skin_or_Hair_Type,Symptoms,Ingredients,Preparation,Usage,Frequency,Precautions
1,Haircare,Hair Growth,All,Hair Shedding; Dark Spots,Papaya; Potato Juice,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Weekly,Do patch test before use
2,Haircare,Oily Scalp,Oily,Flaky Skin; Itching,Neem Powder; Olive Oil,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Alternate days,Discontinue if irritation occurs
3,Haircare,Premature Greying,Straight,Excess Oil; Dry Texture,Onion Juice; Castor Oil,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Weekly,Avoid sun exposure after application
4,Haircare,Oily Scalp,Straight,Hair Shedding; Roughness,Olive Oil; Potato Juice,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,3 times/week,Do not apply on open wounds
5,Skincare,Pigmentation,Normal,Roughness; Dull Appearance,Egg Yolk; Honey,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,2 times/week,Do not apply on open wounds
6,Haircare,Frizzy Hair,Curly,Scalp Irritation; Roughness,Gram Flour; Yogurt,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,3 times/week,Consult dermatologist if severe condition
7,Haircare,Dry Hair,Straight,Itching; Roughness,Egg Yolk; Onion Juice,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,2 times/week,Do patch test before use
8,Skincare,Oily Skin,Oily,Itching; Hair Shedding,Yogurt; Fenugreek Seeds,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Daily,Avoid sun exposure after application
9,Skincare,Sensitive Skin,Dry,Flaky Skin; Dull Appearance,Castor Oil; Potato Juice,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Daily,Discontinue if irritation occurs
10,Skincare,Blackheads,Normal,Hair Shedding; Itching,Fenugreek Seeds; Papaya,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Alternate days,Do patch test before use
11,Haircare,Hair Growth,Curly,Roughness; Scalp Irritation,Onion Juice; Lemon Juice,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Weekly,Do not apply on open wounds
12,Haircare,Hair Growth,Normal,Flaky Skin; Dry Texture,Curd; Coconut Oil,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Daily,Consult dermatologist if severe condition
13,Haircare,Split Ends,Normal,Flaky Skin; Redness,Onion Juice; Coconut Oil,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,2 times/week,Discontinue if irritation occurs
14,Skincare,Dark Circles,Oily,Excess Oil; Uneven Tone,Lemon Juice; Multani Mitti,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,3 times/week,Do patch test before use
15,Skincare,Whiteheads,All,Roughness; Uneven Tone,Lemon Juice; Coconut Oil,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,3 times/week,Do not apply on open wounds
16,Haircare,Frizzy Hair,Oily,Roughness; Flaky Skin,Rose Water; Green Tea,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Daily,Do patch test before use
17,Skincare,Rashes,Combination,Flaky Skin; Dark Spots,Castor Oil; Potato Juice,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Daily,Discontinue if irritation occurs
18,Skincare,Open Pores,Sensitive,Dry Texture; Itching,Fenugreek Seeds; Yogurt,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Daily,Discontinue if irritation occurs
19,Haircare,Dandruff,Dry,Redness; Scalp Irritation,Yogurt; Honey,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Weekly,Avoid sun exposure after application
20,Haircare,Hair Growth,All,Scalp Irritation; Breakage,Aloe Vera; Potato Juice,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Alternate days,Do not apply on open wounds
21,Skincare,Open Pores,Dry,Redness; Excess Oil,Banana; Lemon Juice,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Daily,Discontinue if irritation occurs
22,Haircare,Split Ends,Normal,Dry Texture; Dark Spots,Papaya; Green Tea,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,2 times/week,Do not apply on open wounds
23,Skincare,Open Pores,Combination,Hair Shedding; Uneven Tone,Banana; Aloe Vera,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,3 times/week,Do patch test before use
24,Haircare,Dry Hair,Curly,Dry Texture; Scalp Irritation,Neem Powder; Rose Water,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,2 times/week,Discontinue if irritation occurs
25,Skincare,Pigmentation,Normal,Redness; Inflammation,Coconut Oil; Aloe Vera,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,2 times/week,Avoid sun exposure after application
26,Skincare,Open Pores,Normal,Dull Appearance; Breakage,Lemon Juice; Olive Oil,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,2 times/week,Discontinue if irritation occurs
27,Haircare,Hair Thinning,Straight,Dark Spots; Inflammation,Castor Oil; Gram Flour,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,2 times/week,Do not apply on open wounds
28,Skincare,Sensitive Skin,Dry,Roughness; Dull Appearance,Coconut Oil; Egg Yolk,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Daily,Avoid sun exposure after application
29,Haircare,Itchy Scalp,Dry,Flaky Skin; Dull Appearance,Gram Flour; Olive Oil,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Alternate days,Do patch test before use
30,Haircare,Hair Growth,All,Roughness; Itching,Rose Water; Curd,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Daily,Consult dermatologist if severe condition
31,Skincare,Wrinkles,Sensitive,Dry Texture; Excess Oil,Gram Flour; Papaya,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Alternate days,Avoid sun exposure after application
32,Skincare,Dry Skin,Dry,Roughness; Flaky Skin,Papaya; Multani Mitti,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Daily,Do patch test before use
33,Skincare,Acne,Sensitive,Hair Shedding; Dry Texture,Neem Powder; Banana,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Alternate days,Consult dermatologist if severe condition
34,Haircare,Hair Fall,Normal,Dry Texture; Uneven Tone,Curd; Fenugreek Seeds,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Weekly,Avoid sun exposure after application
35,Haircare,Oily Scalp,Curly,Inflammation; Excess Oil,Neem Powder; Honey,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Daily,Consult dermatologist if severe condition
36,Haircare,Split Ends,Dry,Hair Shedding; Scalp Irritation,Papaya; Green Tea,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Weekly,Do not apply on open wounds
37,Skincare,Whiteheads,Combination,Hair Shedding; Dull Appearance,Neem Powder; Onion Juice,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,3 times/week,Consult dermatologist if severe condition
38,Skincare,Acne,Sensitive,Hair Shedding; Redness,Onion Juice; Yogurt,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Weekly,Do patch test before use
39,Haircare,Frizzy Hair,Oily,Inflammation; Redness,Honey; Curd,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Alternate days,Avoid sun exposure after application
40,Haircare,Dandruff,All,Scalp Irritation; Hair Shedding,Neem Powder; Aloe Vera,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Alternate days,Consult dermatologist if severe condition
41,Haircare,Hair Fall,Oily,Flaky Skin; Hair Shedding,Lemon Juice; Onion Juice,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Alternate days,Discontinue if irritation occurs
42,Skincare,Open Pores,Combination,Dull Appearance; Scalp Irritation,Aloe Vera; Coconut Oil,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Alternate days,Consult dermatologist if severe condition
43,Haircare,Hair Fall,Oily,Scalp Irritation; Itching,Papaya; Castor Oil,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,2 times/week,Discontinue if irritation occurs
44,Haircare,Hair Fall,All,Breakage; Excess Oil,Rose Water; Gram Flour,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,2 times/week,Avoid sun exposure after application
45,Haircare,Frizzy Hair,Oily,Dry Texture; Inflammation,Onion Juice; Honey,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Daily,Do not apply on open wounds
46,Haircare,Hair Thinning,Curly,Dry Texture; Hair Shedding,Castor Oil; Curd,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,2 times/week,Consult dermatologist if severe condition
47,Skincare,Open Pores,Normal,Scalp Irritation; Breakage,Coconut Oil; Banana,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Daily,Do not apply on open wounds
48,Skincare,Wrinkles,Sensitive,Itching; Roughness,Multani Mitti; Papaya,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Alternate days,Do not apply on open wounds
49,Skincare,Whiteheads,Dry,Dull Appearance; Itching,Multani Mitti; Curd,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,3 times/week,Avoid sun exposure after application
50,Skincare,Wrinkles,Oily,Itching; Breakage,Papaya; Aloe Vera,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Alternate days,Avoid sun exposure after application
51,Haircare,Oily Scalp,Straight,Dull Appearance; Dry Texture,Papaya; Yogurt,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,3 times/week,Do patch test before use
